report_id,site,department,report_type,event_timestamp,description,immediate_action,is_synthetic,source_system,source_record_id
DEMO-012,Digboi · Demo,Operations,Incident,2026-08-31T10:48:40.247138+00:00,Trenching with an excavator was observed close to a buried pipeline. Permit details were not available.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-012
DEMO-013,Duliajan · Demo,Maintenance,Near Miss,2026-08-24T09:48:40.247138+00:00,Excavation near a pipeline route continued. Underground line verification was unverified.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-013
DEMO-014,Duliajan · Demo,Operations,Unsafe Condition,2026-08-17T08:48:40.247138+00:00,Worker welding near a tank with flammable vapour reported. Hot work permit was absent.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-014
DEMO-015,Duliajan · Demo,Operations,Unsafe Act,2026-08-10T07:48:40.247138+00:00,Grinding near a tank with flammable gas was observed. Gas test was not available.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-015
DEMO-016,Moran · Demo,Maintenance,Incident,2026-08-03T06:48:40.247138+00:00,Worker on scaffold at a height of 8 m was exposed to an open edge. Guardrail was missing.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-016
DEMO-017,Moran · Demo,Operations,Near Miss,2026-09-20T13:48:40.247138+00:00,Standing on a platform during scaffold work at 5 m. Fall protection was damaged.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-017
DEMO-018,Moran · Demo,Operations,Unsafe Condition,2026-09-13T12:48:40.247138+00:00,Worker exposed to H2S during gas testing. Gas detector failed.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-018
DEMO-019,Naharkatiya · Demo,Maintenance,Unsafe Act,2026-09-06T11:48:40.247138+00:00,H2S monitoring reported 12 ppm. Gas detector calibration expired.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-019
DEMO-020,Naharkatiya · Demo,Operations,Incident,2026-08-30T10:48:40.247138+00:00,Worker entered a tank for confined space work. Entry permit was absent. Oxygen deficiency was reported.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-020
DEMO-021,Naharkatiya · Demo,Operations,Near Miss,2026-08-23T09:48:40.247138+00:00,"Driving a truck, driver speeding with a pedestrian behind. Pedestrian barrier was missing.",Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-021
DEMO-022,Digboi · Demo,Maintenance,Unsafe Condition,2026-08-16T08:48:40.247138+00:00,Well control during drilling recorded a well kick. BOP was bypassed. Crew on rig were present.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-022
DEMO-023,Digboi · Demo,Operations,Unsafe Act,2026-08-09T07:48:40.247138+00:00,H2S emergency mock drill was conducted successfully. The gas detector was tested and found functional. No actual gas release occurred.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-023
DEMO-024,Digboi · Demo,Operations,Incident,2026-08-02T06:48:40.247138+00:00,Gas detector installed for H2S monitoring. Detector condition is unknown.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-024
DEMO-025,Duliajan · Demo,Maintenance,Near Miss,2026-09-19T13:48:40.247138+00:00,Unsafe condition observed near equipment.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-025
DEMO-026,Duliajan · Demo,Operations,Unsafe Condition,2026-09-12T12:48:40.247138+00:00,Housekeeping observation reported at the workshop. Waste packaging was moved to a bin.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-026
DEMO-027,Duliajan · Demo,Operations,Unsafe Act,2026-09-05T11:48:40.247138+00:00,Emergency drill simulated a confined space rescue. No actual release occurred. Atmosphere test tested successfully.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-027
DEMO-028,Moran · Demo,Maintenance,Incident,2026-09-16T10:48:40.247138+00:00,Worker was observed standing beneath a suspended pipe while crane lifting activity was underway. No injury occurred.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-028
DEMO-029,Moran · Demo,Operations,Near Miss,2026-09-13T09:48:40.247138+00:00,A technician was inside the lifting zone beside a crane and suspended load. Exclusion zone barricade was damaged. No injury was recorded.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-029
DEMO-030,Moran · Demo,Operations,Unsafe Condition,2026-09-10T08:48:40.247138+00:00,A helper entered crane radius during lifting. A suspended pipe was moving. No injury occurred.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-030
DEMO-031,Naharkatiya · Demo,Maintenance,Unsafe Act,2026-09-07T07:48:40.247138+00:00,A person crossed below the load during crane lifting activity. The exclusion zone was missing.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-031
DEMO-032,Naharkatiya · Demo,Operations,Incident,2026-08-01T06:48:40.247138+00:00,During operation the pressure safety valve was found gagged/bypassed. No injury or release was reported.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-032
DEMO-033,Naharkatiya · Demo,Operations,Near Miss,2026-09-18T13:48:40.247138+00:00,During process operation the PSV was bypassed on the separator. Personnel were near the vessel.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-033
DEMO-034,Digboi · Demo,Maintenance,Unsafe Condition,2026-09-11T12:48:40.247138+00:00,During operation the pressure relief valve failed on the vessel. No release was recorded.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-034
DEMO-035,Digboi · Demo,Operations,Unsafe Act,2026-09-04T11:48:40.247138+00:00,Maintenance on a pump exposed a rotating shaft. Lockout was absent. No injury occurred.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-035
DEMO-036,Digboi · Demo,Operations,Incident,2026-08-28T10:48:40.247138+00:00,A technician working on an energized motor found the isolation bypassed during maintenance.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-036
DEMO-037,Duliajan · Demo,Maintenance,Near Miss,2026-08-21T09:48:40.247138+00:00,Maintenance on a motor started while LOTO was not verified. No injury was recorded.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-037
DEMO-038,Duliajan · Demo,Operations,Unsafe Condition,2026-08-14T08:48:40.247138+00:00,Excavation work was observed close to a marked pipeline route. Permit details and underground line verification were not available.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-038
DEMO-039,Duliajan · Demo,Operations,Unsafe Act,2026-08-07T07:48:40.247138+00:00,Trenching with an excavator was observed close to a buried pipeline. Permit details were not available.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-039
DEMO-040,Moran · Demo,Maintenance,Incident,2026-07-31T06:48:40.247138+00:00,Excavation near a pipeline route continued. Underground line verification was unverified.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-040
DEMO-041,Moran · Demo,Operations,Near Miss,2026-09-17T13:48:40.247138+00:00,Worker welding near a tank with flammable vapour reported. Hot work permit was absent.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-041
DEMO-042,Moran · Demo,Operations,Unsafe Condition,2026-09-10T12:48:40.247138+00:00,Grinding near a tank with flammable gas was observed. Gas test was not available.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-042
DEMO-043,Naharkatiya · Demo,Maintenance,Unsafe Act,2026-09-03T11:48:40.247138+00:00,Worker on scaffold at a height of 8 m was exposed to an open edge. Guardrail was missing.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-043
DEMO-044,Naharkatiya · Demo,Operations,Incident,2026-08-27T10:48:40.247138+00:00,Standing on a platform during scaffold work at 5 m. Fall protection was damaged.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-044
DEMO-045,Naharkatiya · Demo,Operations,Near Miss,2026-08-20T09:48:40.247138+00:00,Worker exposed to H2S during gas testing. Gas detector failed.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-045
DEMO-046,Digboi · Demo,Maintenance,Unsafe Condition,2026-08-13T08:48:40.247138+00:00,H2S monitoring reported 12 ppm. Gas detector calibration expired.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-046
DEMO-047,Digboi · Demo,Operations,Unsafe Act,2026-08-06T07:48:40.247138+00:00,Worker entered a tank for confined space work. Entry permit was absent. Oxygen deficiency was reported.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-047
DEMO-048,Digboi · Demo,Operations,Incident,2026-07-30T06:48:40.247138+00:00,"Driving a truck, driver speeding with a pedestrian behind. Pedestrian barrier was missing.",Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-048
DEMO-049,Duliajan · Demo,Maintenance,Near Miss,2026-09-16T13:48:40.247138+00:00,Well control during drilling recorded a well kick. BOP was bypassed. Crew on rig were present.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-049
DEMO-050,Duliajan · Demo,Operations,Unsafe Condition,2026-09-09T12:48:40.247138+00:00,H2S emergency mock drill was conducted successfully. The gas detector was tested and found functional. No actual gas release occurred.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-050
DEMO-051,Duliajan · Demo,Operations,Unsafe Act,2026-09-02T11:48:40.247138+00:00,Gas detector installed for H2S monitoring. Detector condition is unknown.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-051
DEMO-052,Moran · Demo,Maintenance,Incident,2026-08-26T10:48:40.247138+00:00,Unsafe condition observed near equipment.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-052
DEMO-053,Moran · Demo,Operations,Near Miss,2026-08-19T09:48:40.247138+00:00,Housekeeping observation reported at the workshop. Waste packaging was moved to a bin.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-053
DEMO-054,Moran · Demo,Operations,Unsafe Condition,2026-08-12T08:48:40.247138+00:00,Emergency drill simulated a confined space rescue. No actual release occurred. Atmosphere test tested successfully.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-054
DEMO-055,Naharkatiya · Demo,Maintenance,Unsafe Act,2026-09-10T07:48:40.247138+00:00,Worker was observed standing beneath a suspended pipe while crane lifting activity was underway. No injury occurred.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-055
DEMO-056,Naharkatiya · Demo,Operations,Incident,2026-09-07T06:48:40.247138+00:00,A technician was inside the lifting zone beside a crane and suspended load. Exclusion zone barricade was damaged. No injury was recorded.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-056
DEMO-057,Naharkatiya · Demo,Operations,Near Miss,2026-09-04T13:48:40.247138+00:00,A helper entered crane radius during lifting. A suspended pipe was moving. No injury occurred.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-057
DEMO-058,Digboi · Demo,Maintenance,Unsafe Condition,2026-09-01T12:48:40.247138+00:00,A person crossed below the load during crane lifting activity. The exclusion zone was missing.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-058
DEMO-059,Digboi · Demo,Operations,Unsafe Act,2026-09-01T11:48:40.247138+00:00,During operation the pressure safety valve was found gagged/bypassed. No injury or release was reported.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-059
DEMO-060,Digboi · Demo,Operations,Incident,2026-08-25T10:48:40.247138+00:00,During process operation the PSV was bypassed on the separator. Personnel were near the vessel.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-060
DEMO-061,Duliajan · Demo,Maintenance,Near Miss,2026-08-18T09:48:40.247138+00:00,During operation the pressure relief valve failed on the vessel. No release was recorded.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-061
DEMO-062,Duliajan · Demo,Operations,Unsafe Condition,2026-08-11T08:48:40.247138+00:00,Maintenance on a pump exposed a rotating shaft. Lockout was absent. No injury occurred.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-062
DEMO-063,Duliajan · Demo,Operations,Unsafe Act,2026-08-04T07:48:40.247138+00:00,A technician working on an energized motor found the isolation bypassed during maintenance.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-063
DEMO-064,Moran · Demo,Maintenance,Incident,2026-09-21T06:48:40.247138+00:00,Maintenance on a motor started while LOTO was not verified. No injury was recorded.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-064
DEMO-065,Moran · Demo,Operations,Near Miss,2026-09-14T13:48:40.247138+00:00,Excavation work was observed close to a marked pipeline route. Permit details and underground line verification were not available.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-065
DEMO-066,Moran · Demo,Operations,Unsafe Condition,2026-09-07T12:48:40.247138+00:00,Trenching with an excavator was observed close to a buried pipeline. Permit details were not available.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-066
DEMO-067,Naharkatiya · Demo,Maintenance,Unsafe Act,2026-08-31T11:48:40.247138+00:00,Excavation near a pipeline route continued. Underground line verification was unverified.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-067
DEMO-068,Naharkatiya · Demo,Operations,Incident,2026-08-24T10:48:40.247138+00:00,Worker welding near a tank with flammable vapour reported. Hot work permit was absent.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-068
DEMO-069,Naharkatiya · Demo,Operations,Near Miss,2026-08-17T09:48:40.247138+00:00,Grinding near a tank with flammable gas was observed. Gas test was not available.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-069
DEMO-070,Digboi · Demo,Maintenance,Unsafe Condition,2026-08-10T08:48:40.247138+00:00,Worker on scaffold at a height of 8 m was exposed to an open edge. Guardrail was missing.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-070
DEMO-071,Digboi · Demo,Operations,Unsafe Act,2026-08-03T07:48:40.247138+00:00,Standing on a platform during scaffold work at 5 m. Fall protection was damaged.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-071
DEMO-072,Digboi · Demo,Operations,Incident,2026-09-20T06:48:40.247138+00:00,Worker exposed to H2S during gas testing. Gas detector failed.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-072
DEMO-073,Duliajan · Demo,Maintenance,Near Miss,2026-09-13T13:48:40.247138+00:00,H2S monitoring reported 12 ppm. Gas detector calibration expired.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-073
DEMO-074,Duliajan · Demo,Operations,Unsafe Condition,2026-09-06T12:48:40.247138+00:00,Worker entered a tank for confined space work. Entry permit was absent. Oxygen deficiency was reported.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-074
DEMO-075,Duliajan · Demo,Operations,Unsafe Act,2026-08-30T11:48:40.247138+00:00,"Driving a truck, driver speeding with a pedestrian behind. Pedestrian barrier was missing.",Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-075
DEMO-076,Moran · Demo,Maintenance,Incident,2026-08-23T10:48:40.247138+00:00,Well control during drilling recorded a well kick. BOP was bypassed. Crew on rig were present.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-076
DEMO-077,Moran · Demo,Operations,Near Miss,2026-08-16T09:48:40.247138+00:00,H2S emergency mock drill was conducted successfully. The gas detector was tested and found functional. No actual gas release occurred.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-077
DEMO-078,Moran · Demo,Operations,Unsafe Condition,2026-08-09T08:48:40.247138+00:00,Gas detector installed for H2S monitoring. Detector condition is unknown.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-078
DEMO-079,Naharkatiya · Demo,Maintenance,Unsafe Act,2026-08-02T07:48:40.247138+00:00,Unsafe condition observed near equipment.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-079
DEMO-080,Naharkatiya · Demo,Operations,Incident,2026-09-19T06:48:40.247138+00:00,Housekeeping observation reported at the workshop. Waste packaging was moved to a bin.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-080
